Sub-district,Borough,Price,Area (m²),Price per square meter,Bedrooms,Bathrooms,Condition
Cascais,Estoril,1950000.0,210.0,9285.71,4,4,1
Cascais,Estoril,4000000.0,273.0,14652.01,3,4,2
Cascais,Estoril,789000.0,80.0,9862.5,1,2,2
Cascais,Estoril,398000.0,70.0,5685.71,2,1,2
Cascais,Estoril,450000.0,118.7,3791.07,2,2,4
Cascais,Estoril,795000.0,120.0,6625.0,4,2,3
Cascais,Estoril,530000.0,170.0,3117.65,4,4,3
Cascais,Estoril,500000.0,120.0,4166.67,2,1,2
Cascais,Parede,675000.0,112.0,6026.79,2,2,3
Cascais,Estoril,1050000.0,137.0,7664.23,3,4,2
Cascais,Estoril,560000.0,75.0,7466.67,1,2,2
Cascais,Estoril,1750000.0,285.0,6140.35,4,4,4
Cascais,Estoril,995000.0,148.0,6722.97,2,3,4
Cascais,Estoril,995000.0,148.0,6722.97,2,3,4
Cascais,Estoril,1250000.0,122.0,10245.9,3,2,2
Cascais,Estoril,550000.0,95.0,5789.47,2,2,2
Cascais,Estoril,295000.0,83.0,3554.22,2,1,3
Cascais,Estoril,5000000.0,257.0,19455.25,4,4,1
Cascais,Estoril,540000.0,118.0,4576.27,3,2,2
Cascais,Estoril,2500000.0,172.0,14534.88,3,4,1
Cascais,Estoril,790000.0,88.0,8977.27,2,1,2
Cascais,São Domingos de Rana,240000.0,90.0,2666.67,3,2,2
Cascais,Parede,890000.0,120.0,7416.67,3,3,2
Cascais,São Domingos de Rana,430000.0,120.0,3583.33,3,3,2
Cascais,São Domingos de Rana,350000.0,94.0,3723.4,2,2,1
Cascais,São Domingos de Rana,250000.0,70.0,3571.43,1,2,2
Cascais,São Domingos de Rana,650000.0,159.0,4088.05,4,4,2
Cascais,Estoril,179000.0,55.0,3254.55,1,1,2
Cascais,Estoril,515000.0,105.0,4904.76,2,2,4
Cascais,Estoril,705000.0,153.0,4607.84,4,2,4
Cascais,Estoril,1162700.0,166.0,7004.22,3,2,1
Cascais,Estoril,584640.0,83.0,7043.86,1,2,4
Cascais,Estoril,800000.0,200.0,4000.0,3,3,1
Cascais,Estoril,1498000.0,281.0,5330.96,3,2,1
Cascais,Parede,350000.0,101.0,3465.35,3,2,2
Cascais,Estoril,300000.0,80.0,3750.0,2,1,2
Cascais,Estoril,1481700.0,249.0,5950.6,3,3,1
Sintra,Mem Martins,190000.0,85.0,2235.29,2,2,3
Sintra,Mem Martins,145000.0,70.0,2071.43,2,1,3
Sintra,Belas,350000.0,167.0,2095.81,4,3,2
Sintra,Belas,350000.0,181.0,1933.7,4,3,2
Sintra,Mem Martins,270000.0,127.0,2125.98,3,2,2
Sintra,Belas,139500.0,56.0,2491.07,2,1,2
Sintra,Belas,149900.0,110.0,1362.73,2,1,2
Sintra,Belas,125000.0,70.0,1785.71,3,1,2
Sintra,Belas,105000.0,65.0,1615.38,2,1,2
Sintra,Belas,234500.0,180.0,1302.78,2,2,2
Sintra,Belas,160000.0,68.0,2352.94,2,2,2
Sintra,Belas,139500.0,65.0,2146.15,2,1,2
Sintra,Mem Martins,270000.0,127.0,2125.98,3,2,2
Sintra,Mem Martins,135000.0,65.0,2076.92,2,1,2
Sintra,Belas,350000.0,158.0,2215.19,5,3,1
Sintra,Mem Martins,139000.0,79.18,1755.49,2,1,3
Sintra,Belas,350000.0,170.0,2058.82,4,3,3
Sintra,Mem Martins,115000.0,62.0,1854.84,1,1,2
Sintra,Mem Martins,129000.0,72.0,1791.67,2,1,2
Sintra,Belas,125000.0,61.0,2049.18,2,1,2
Sintra,Belas,130000.0,59.0,2203.39,2,1,2
Sintra,Belas,130000.0,77.0,1688.31,2,1,2
Sintra,Belas,133500.0,132.0,1011.36,2,1,2
Sintra,Belas,1390000.0,377.0,3687.0,4,4,1
Sintra,Mem Martins,130000.0,90.0,1444.44,2,1,2
Sintra,Belas,142000.0,83.0,1710.84,2,1,3
Sintra,Mem Martins,152000.0,93.0,1634.41,2,1,2
Sintra,Mem Martins,125000.0,80.0,1562.5,2,1,2
Sintra,Mem Martins,200000.0,117.0,1709.4,3,2,2
Sintra,Belas,350000.0,195.0,1794.87,4,3,2
